Country,Country_Code,Year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,Region,illiteracy_rate,literacy_rate,gdp_per_capita,world_region,avg_years_schooling,Illiteracy_%,Literacy_Gender_Gap,GDP_per_Schooling_Year,Education_Index,Youth_Literacy_Average,Literacy_Growth_Rate
Belize,BLZ,2015.0,90.92,97.83,98.08,North America,9.080002,90.92,12348.795,North America,10.56,9.080002,0.25,1169.3934659090908,50.74,97.955,12.243384215611343
Belize,BLZ,2022.0,87.88,95.67,96.63,North America,12.120003,87.88,12565.364,North America,3.81328678151149,12.120003,0.9599999999999937,3295.1531631249118,45.846643390755744,96.15,-3.0400000000000063
Benin,BEN,1992.0,27.25,55.13,26.69,Africa,72.75,27.25,2226.5667,Africa,3.81328678151149,72.75,28.44,583.8969968887169,15.531643390755745,40.910000000000004,0.0
Benin,BEN,2001.0,78.6647677888707,61.08,31.85,Africa,21.323384163270195,78.67661578438866,2591.065,Africa,3.81328678151149,21.323384163270195,29.229999999999997,679.4833823049017,41.244951282950076,46.465,51.42661578438866
Benin,BEN,2002.0,34.66,59.21,33.24,Africa,65.34,34.66,2630.1807,Africa,3.81328678151149,65.34,25.97,689.7411211641058,19.236643390755745,46.225,-44.01661578438866
Benin,BEN,2006.0,78.6647677888707,72.07,39.53,Africa,21.323384163270195,78.67661578438866,2652.2185,Africa,3.81328678151149,21.323384163270195,32.53999999999999,695.5203350713444,41.244951282950076,55.8,44.01661578438866
Benin,BEN,2011.0,44.68812,89.95973058304064,48.456245,Africa,55.31188,44.68812,2732.0125,Africa,3.81328678151149,55.31188,41.503485583040636,716.4455905194467,24.250703390755746,69.20798779152032,-33.98849578438866
Benin,BEN,2013.0,45.08,71.6,53.48,Africa,54.92,45.08,2893.0466,Africa,3.81328678151149,54.92,18.119999999999997,758.6753280730882,24.446643390755746,62.53999999999999,0.39188000000000045
Benin,BEN,2017.0,38.87,66.8,50.99,Africa,61.13,38.87,3041.7793,Africa,3.81328678151149,61.13,15.809999999999995,797.6791346373158,21.341643390755742,58.894999999999996,-6.210000000000001
Benin,BEN,2019.0,49.0,76.35,62.76,Africa,51.0,49.0,3281.1047,Africa,3.81328678151149,51.0,13.589999999999996,860.440058143084,26.406643390755747,69.55499999999999,10.130000000000003
Benin,BEN,2021.0,43.83,70.97,59.19,Africa,56.17,43.83,3464.2886,Africa,3.81328678151149,56.17,11.780000000000001,908.4783805918851,23.821643390755746,65.08,-5.170000000000002
Benin,BEN,2022.0,51.38,74.6,67.94,Africa,48.62,51.38,3588.3252,Africa,3.81328678151149,48.62,6.659999999999997,941.0058580953828,27.596643390755744,71.27,7.550000000000004
Bhutan,BTN,2005.0,52.81,80.04,67.96,Asia,47.19,52.81,6850.804,Asia,3.81328678151149,47.19,12.080000000000013,1796.5614422748754,28.311643390755748,74.0,0.0
